,name,type,count,amount,year,quarter,state,quarter_year
96,Merchant payments,TOTAL,16153034,6420193205,2019,4,tamil-nadu,Q4 2019
97,Recharge & bill payments,TOTAL,11157765,4681454398,2019,4,tamil-nadu,Q4 2019
98,Financial Services,TOTAL,60624,24332240.66,2019,4,tamil-nadu,Q4 2019
99,Others,TOTAL,410980,206859328.3,2019,4,tamil-nadu,Q4 2019
100,Peer-to-peer payments,TOTAL,30880360,1.02E+11,2020,1,tamil-nadu,Q1 2020
101,Merchant payments,TOTAL,21541556,8950736938,2020,1,tamil-nadu,Q1 2020
102,Recharge & bill payments,TOTAL,14134259,5493239430,2020,1,tamil-nadu,Q1 2020
103,Financial Services,TOTAL,61427,41422107.81,2020,1,tamil-nadu,Q1 2020
104,Others,TOTAL,335871,176604658.4,2020,1,tamil-nadu,Q1 2020
105,Peer-to-peer payments,TOTAL,21700844,82347647064,2020,2,tamil-nadu,Q2 2020
106,Recharge & bill payments,TOTAL,18474731,6414781159,2020,2,tamil-nadu,Q2 2020
107,Merchant payments,TOTAL,11477546,6909361872,2020,2,tamil-nadu,Q2 2020
108,Financial Services,TOTAL,78584,89189349.85,2020,2,tamil-nadu,Q2 2020
109,Others,TOTAL,138405,65529451.74,2020,2,tamil-nadu,Q2 2020
110,Peer-to-peer payments,TOTAL,31754077,1.24E+11,2020,3,tamil-nadu,Q3 2020
111,Merchant payments,TOTAL,20664887,12554589576,2020,3,tamil-nadu,Q3 2020
112,Recharge & bill payments,TOTAL,17521756,7476952307,2020,3,tamil-nadu,Q3 2020
113,Financial Services,TOTAL,129671,158512062.5,2020,3,tamil-nadu,Q3 2020
114,Others,TOTAL,207434,90281020.16,2020,3,tamil-nadu,Q3 2020
115,Peer-to-peer payments,TOTAL,47800741,1.72E+11,2020,4,tamil-nadu,Q4 2020
116,Merchant payments,TOTAL,41297305,24417758782,2020,4,tamil-nadu,Q4 2020
117,Recharge & bill payments,TOTAL,21563946,9462546013,2020,4,tamil-nadu,Q4 2020
118,Financial Services,TOTAL,153044,186775413.1,2020,4,tamil-nadu,Q4 2020
119,Others,TOTAL,364665,209735503.5,2020,4,tamil-nadu,Q4 2020
120,Peer-to-peer payments,TOTAL,57446279,2.06E+11,2021,1,tamil-nadu,Q1 2021
121,Merchant payments,TOTAL,53811885,30722779535,2021,1,tamil-nadu,Q1 2021
122,Recharge & bill payments,TOTAL,24826273,11115915389,2021,1,tamil-nadu,Q1 2021
123,Financial Services,TOTAL,170620,215319360.5,2021,1,tamil-nadu,Q1 2021
124,Others,TOTAL,301617,208899281.9,2021,1,tamil-nadu,Q1 2021
125,Peer-to-peer payments,TOTAL,60812902,2.16E+11,2021,2,tamil-nadu,Q2 2021
126,Merchant payments,TOTAL,52048347,33504798113,2021,2,tamil-nadu,Q2 2021
127,Recharge & bill payments,TOTAL,32753032,13155346942,2021,2,tamil-nadu,Q2 2021
128,Financial Services,TOTAL,192614,225113402.7,2021,2,tamil-nadu,Q2 2021
129,Others,TOTAL,351547,223054882.4,2021,2,tamil-nadu,Q2 2021
130,Merchant payments,TOTAL,85074941,52932187059,2021,3,tamil-nadu,Q3 2021
131,Peer-to-peer payments,TOTAL,83833356,2.96E+11,2021,3,tamil-nadu,Q3 2021
132,Recharge & bill payments,TOTAL,34751691,15613287082,2021,3,tamil-nadu,Q3 2021
133,Financial Services,TOTAL,182097,246146707.3,2021,3,tamil-nadu,Q3 2021
134,Others,TOTAL,515319,294622911.6,2021,3,tamil-nadu,Q3 2021
135,Merchant payments,TOTAL,117578360,70539086832,2021,4,tamil-nadu,Q4 2021
136,Peer-to-peer payments,TOTAL,104493071,3.54E+11,2021,4,tamil-nadu,Q4 2021
137,Recharge & bill payments,TOTAL,36163870,18979178478,2021,4,tamil-nadu,Q4 2021
138,Financial Services,TOTAL,228761,275850497.1,2021,4,tamil-nadu,Q4 2021
